Item_Name,Item_Price
שמן אתרי ציטרונלה 100% טהור citronella,17.0
שמן אתרי תפוז מתוק 100% טהור sweet orange,19.0
שמן אתרי עשב לימון 100% טהור lemongrass,19.0
שמן אתרי אקליפטוס גלובולוס-100% טהור,20.0
שמן אתרי ליים 100% טהור lime essential oil,21.0
שמן אתרי רוזמרין 100% טהור rosemary,22.0
שמן אתרי קמפור 100% טהור camphor,22.0
שמן אתרי ציפורן 100% טהור clove,22.0
שמן אתרי עץ התה 100% טהור tea tree,22.0
שמן אתרי אקליפטוס לימוני 100% טהור,22.0
שמן אתרי אקליפטוס סמיטי 100% טהור,22.0
שמן אתרי אקליפטוס רדיאטה 100% טהור,22.0
שמן אתרי אשכולית 100%טהור  grapfruit,22.0
שמן אתרי לימון 100% טהור lemon,22.0
שמן אתרי נענע 100% טהור spearmint,23.0
שמן אתרי ליצאה קובבה 100% טהור  litsea cubeba,23.0
אשוח סיבירי  Abies sibirica,23.0
שמן אתרי אביס אלבה 100% טהור  abies alba,26.0
שמן אתרי אגוז מוסקט 100% טהור,27.0
שמן אתרי מיורם 100% טהור marjoram,27.0
שמן אתרי מנטה 100% טהור peppermint,27.0
שמן אתרי כוכב אניס 100% טהור,28.0
שמן אתרי קינמון עלים 100% טהור cinnamon leaf,28.0
שמן אתרי קג’פוט 100% טהור cajeput,28.0
שמן אתרי פטצולי 100% טהור  patchouli,28.0
שמן אתרי פלמה רוזה 100% טהור  palmarosa,28.0
שמן אתרי לבנדר 100% טהור lavender,28.0
שמן אתרי ניאולי 100% טהור niaouli,28.0
ארז אטלס 100% טהור cedarwood,28.0
שמן אתרי שומר 100% טהור fennel,29.0
שמן אתרי ברגמוט 100% טהור,29.0
שמן אתרי ברוש 100% טהור cypress,29.0
שמן אתרי אורן 100% טהור Pine,29.0
שמן אתרי מנדרין 100% טהור mandarin,29.0
שמן אתרי פטרוזליה 100% טהור parsley seed,29.0
שמן אתרי מרווה רפואית 100% טהור sage,29.0
שמן אתרי ווינטרגרין 100% טהור wintergreen,29.0
שמן אתרי גינגר 100% טהור ginger,30.0
שמן אתרי פטיטגרין 100% טהור petitgrain,32.0
שמן אתרי הדס 100% טהור myrtle,32.0
שמן ברגמוט 100% טהור ללא ברגפטן bergamot fcf,32.0
שמן אתרי פלפל שחור 100% טהור black pepper,32.0
שמן אתרי אורגנו 100% טהור Oregano,33.0
שמן ילנג ילנג 100% טהור ylang ylang,34.0
שמן אתרי זרעי כוסברה 100% טהור,34.0
שמן אתרי רוונטיסרה 100% טהור ravintsara,36.0
שמן אתרי בזיל 100% טהור basil,37.0
שמן אתרי קופאיבה בלזם copaifera officinalus,39.0
שמן אתרי גרניום 100% טהור Geranium,40.0
שמן אלמי 100% טהור  canarium luzonicum,41.0
שמן אתרי קורנית תימול 100% טהור  thyme thymol,44.0
שמן אתרי ערער 100% טהור juniper,47.0
שמן אתרי קורנית לינלול 100% טהור thyme linalool,52.0
שמן אתרי לבונה 100% טהור,52.0
שמן אתרי זרעי גזר 100% טהור,52.0
שמן אתרי דפנה (עלים) 100% טהור bay,53.0
שמן אתרי כורכום 100% טהור turmeric,53.0
שמן אתרי מרווה מרושתת 100% טהור,54.0
שמן ורד 5% בחוחובה,55.0
שמן אתרי מאנוקה 100% טהור manuka essential oil,58.0
שמן אתרי מור 100% טהור myrrh,63.0
שמן אתרי הל 100% טהור cardamon,65.0
שמן יסמין 5% בחוחובה 10,67.0
שמן אתרי נרולי 5% בחוחובה neroli 5% in jojoba,67.0
שמן וניל vanilla,75.0
שמן אתרי טגטס 100% טהור,77.0
שמן אתרי ולריאן 100% טהור Valerian,89.0
שמן אתרי וטיבר 100% טהור vetiver,96.0
שמן אתרי קמומיל רומאן 100% טהור chamomile roman,99.0
שמן אתרי לוטם 100% טהור cistus ladanifer,108.0
שמן אתרי אכילאה אלף עלים 100% טהור  yarrow,132.0
שמן אתרי קמומיל כחול 100% טהור blue chamomile,133.0
שמן אתרי הלקריסיום 100% טהור,175.0
שמן אתרי סנדלווד 100% טהור sandalwood,199.0
שמן ורד 100% טהור rose,224.0
שמן אתרי אנגליקה שורש 100% טהור angelica,235.0
שמן יסמין 100% טהור jasmin,259.0
שמן אתרי מליסה 100% טהור melisa,262.0
שמן אתרי נרולי 100% טהור neroli,347.0
